time;logger;level;database;threadid;message;exception
2018-06-09 07:16:01.3170;Raven.Database.DocumentDatabase;Debug;<system>;1;Start loading the following database: <system>;
2018-06-09 07:16:02.0982;Raven.Database.Impl.DocumentCacher;Info;<system>;1;"MemoryCache Settings:
  PhysicalMemoryLimit = 99
  CacheMemoryLimit    = 3160408064
  PollingInterval     = 00:02:00";
2018-06-09 07:16:02.1138;Raven.Database.Storage.Esent.StorageConfigurator;Info;<system>;1;"Esent Settings:
  MaxVerPages      = 8192
  CacheSizeMax     = 262144
  DatabasePageSize = 4096";
2018-06-09 07:16:02.1138;Raven.Storage.Esent.TransactionalStorage;Info;<system>;1;"Esent Settings:
  MaxVerPages      = 8192
  CacheSizeMax     = 262144
  DatabasePageSize = 4096";
2018-06-09 07:16:04.3169;Raven.Database.Storage.IndexDefinitionStorage;Debug;<system>;1;Reading index definitions from disk...;
2018-06-09 07:16:04.3169;Raven.Database.Storage.IndexDefinitionStorage;Debug;<system>;1;Read 0 index definitions;
2018-06-09 07:16:04.3169;Raven.Database.Storage.IndexDefinitionStorage;Debug;<system>;1;Reading transformer definitions from disk...;
2018-06-09 07:16:04.3169;Raven.Database.Storage.IndexDefinitionStorage;Debug;<system>;1;Read 0 transform definitions;
2018-06-09 07:16:04.3950;Raven.Database.Indexing.IndexStorage;Debug;<system>;1;Start opening indexes. There are 0 indexes that need to be loaded;
2018-06-09 07:16:04.4106;Raven.Database.Indexing.IndexStorage;Debug;<system>;1;Index storage initialized. All indexes have been opened.;
2018-06-09 07:16:04.4887;Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions;Debug;<system>;1;Document with key 'Raven/Backup/Status' was not found;
2018-06-09 07:16:04.5044;Raven.Database.Actions.LastCollectionEtags;Debug;<system>;1;Starting to initialize last collection etags based on indexes ...;
2018-06-09 07:16:04.5200;Raven.Database.DocumentDatabase;Debug;<system>;1;Finish loading the following database: <system>;
2018-06-09 07:16:04.5356;Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions;Debug;;1;Document with key 'Raven/Authorization/WindowsSettings' was not found;
2018-06-09 07:16:04.5356;Raven.Database.Indexing.WorkContext;Debug;;23;No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work;
2018-06-09 07:16:04.5512;Raven.Database.Indexing.IndexingExecuter;Debug;;22;No tasks to execute were found!;
2018-06-09 07:16:04.5512;Raven.Database.Indexing.IndexingExecuter;Debug;;22;Executed 0 tasks, processed documents: 0, took 19ms;
2018-06-09 07:16:04.5512;Raven.Database.Indexing.WorkContext;Debug;;22;No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work;
2018-06-09 07:16:05.0356;Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions;Debug;;1;Document with key 'Raven/Cluster/Configuration' was not found;
2018-06-09 07:16:06.0981;Raven.Client.Connection.Async.AsyncServerClient;Warn;;11;Was unable to fetch topology from primary node http://localhost also there is no cached topology;
2018-06-09 07:16:15.2071;Raven.Database.Config.SystemInfoLoggin;Debug;;9;"Version: 35247 / 12375b3d5e
Total Mem: 8 077MB, Available: 2 365MB, Mem limit: MB, Low mem: False
DebugInfo for Database '' :
= = = = = = = = = = = = = = = = 
	Metrics:: DocsWritesPerSecond: 0,000, IndexedPerSecond: 0,000, ReducedPerSecond: 0,000, RequestsPerSecond: 0,000
	Metrics.Requests:: Count: , OneMinuteRate: 0,000, MeanRate: 0,000
	Metrics.RequestsDuration:: Counter: , Max: 0,000, Min: 0,000, Mean: 0,000, Stdev: 0,000
	Metrics.StaleIndexMaps:: Counter: 1, Max: 0,000, Min: 0,000, Mean: 0,000, Stdev: 0,000
	Metrics.StaleIndexMaps:: Counter: 1, Max: 0,000, Min: 0,000, Mean: 0,000, Stdev: 0,000
Last DB Etag=F34B0395-5FCA-6A6E-468C-4DFAE1D9DCB5
";
2018-06-09 07:16:28.4916;Raven.Database.Server.WebApi.RequestManager;Debug;;30;Receive Request #   1: GET     -  - http://localhost:8080/singleAuthToken;
2018-06-09 07:16:28.5697;Raven.Database.Server.WebApi.RequestManager;Debug;;26;Receive Request #   2: GET     -  - http://localhost:8080/databases?getAdditionalData=true;
2018-06-09 07:16:28.5697;Raven.Database.Server.WebApi.RequestManager;Debug;;29;Receive Request #   3: GET     -  - http://localhost:8080/fs?getAdditionalData=true;
